Vmag,Plx,e_Plx,B-V,SpType
9.27,21.9,3.1,0.999,K3V
8.06,7.75,0.97,0.37,F0V
9.64,17.74,1.3,0.74,G0
8.59,10.76,1.1,0.489,F6V
7.34,4.29,0.84,0.081,A2
7.25,5.11,0.99,1.2,K0
8.15,6.15,1.0,0.425,F3V
11.03,19.93,2.36,1.567,K5
6.53,4.12,0.64,0.955,G5
8.51,10.76,1.06,0.516,G0
7.55,5.84,0.95,1.438,K2
7.57,12.21,0.95,0.456,F2V
9.05,9.73,1.21,0.528,G0V
6.28,13.74,0.98,0.763,G3IV
9.13,9.19,1.34,0.535,F7V
9.32,9.66,1.38,0.671,G5V
8.83,5.64,1.05,0.468,F3
8.1,8.94,1.09,0.466,F2
6.43,12.71,0.74,0.514,F7
7.68,6.3,0.96,1.15,K0
8.65,23.84,0.78,0.778,G6V
7.46,10.98,1.18,0.475,F3V
8.2,6.38,0.91,0.387,F2
6.18,7.63,0.6,1.032,G9III
10.78,24.45,1.97,1.15,K3V
6.49,16.89,0.8,0.616,G1IV
8.56,3.95,0.77,0.196,A4V
10.57,20.97,1.71,1.03,M
7.4,14.66,0.98,0.551,G2IV
8.27,33.89,0.79,0.863,K2V
7.05,26.06,0.67,0.52,G0
8.34,6.18,0.83,0.386,F2IV
8.86,5.6,1.11,1.081,K5
6.36,4.81,0.71,-0.047,B9
8.55,8.18,0.88,0.401,F2V
7.83,7.48,0.93,0.495,F5
8.79,31.8,1.17,0.94,K0
8.33,6.35,1.12,0.135,A0
8.97,10.63,1.25,0.671,G3
6.9,3.97,0.69,1.446,K2
9.93,24.22,1.36,1.068,K5
8.4,15.59,1.43,0.566,G2V
8.57,23.43,1.28,0.642,G5
9.61,18.9,1.33,0.852,K0
5.71,5.97,0.7,0.911,G8III
7.64,9.35,0.92,0.5,F5IV
8.12,16.74,1.28,0.619,F8V
10.1,10.48,1.48,0.644,G2
8.67,7.85,1.17,0.513,F5V
8.29,9.15,0.76,0.538,F6V
9.34,8.16,1.21,0.543,F7V
7.73,4.44,0.75,0.455,F0
6.22,4.5,0.73,0.97,G7II
5.53,5.84,0.61,1.615,M2III
7.23,5.33,0.94,0.388,F0
8.61,20.42,1.91,0.787,G5
11.28,27.11,2.33,1.308,M2
10.76,31.35,4.17,1.384,M1
7.95,9.93,1.95,0.654,G0IV
7.46,4.73,0.67,0.16,A2IV
8.6,8.29,0.97,0.435,F3V
9.2,12.08,1.33,0.606,G0
6.82,7.49,0.83,1.071,K0
4.78,14.77,0.47,1.254,K2III
7.21,5.07,0.7,1.169,K0
6.5,15.2,0.63,0.182,A
9.32,6.6,1.3,0.559,F8
8.13,8.11,0.83,0.2,A4V
8.64,20.1,1.22,0.62,G5
6.6,5.84,0.78,1.153,K2III
9.04,8.98,0.93,0.546,F7V
8.47,5.61,1.1,1.35,K5
7.33,16.04,0.69,0.73,K0
10.35,20.05,1.64,1.033,K3
5.13,7.98,0.71,-0.128,B7III
11.26,22.92,2.17,0.932,K3
7.04,7.5,0.84,1.06,K1III
7.78,7.56,1.37,0.411,F3IV
4.37,7.86,0.94,1.631,M3III
8.51,6.87,1.28,0.903,G5
7.09,7.03,0.89,0.999,K0III
6.93,16.92,0.81,0.292,A3
7.98,4.41,0.82,0.97,G9III
8.86,9.46,1.18,0.66,G3V
9.24,63.03,1.98,1.39,M0V
5.8,80.63,3.03,0.69,G3V
6.9,14.91,0.9,0.534,G0V
5.04,6.4,0.87,-0.15,B4V
8.48,29.75,1.21,0.888,K0
8.53,11.74,1.8,0.53,F8
6.33,7.55,0.82,0.182,A6V
8.64,10.49,1.23,0.488,F5
8.74,10.47,1.17,0.57,G0
12.43,22.98,4.38,1.49,M3
5.7,26.53,0.77,0.315,F0V
7.62,8.08,1.0,0.517,F8
8.24,10.06,0.99,0.474,F5
8.54,8.84,1.25,0.384,F2
8.56,9.32,1.02,0.436,G0
7.7,7.8,0.95,1.003,G5
8.56,10.78,1.28,0.602,F8
7.52,6.27,0.81,0.18,A0
7.74,7.68,1.11,0.483,F2
7.17,21.58,1.65,0.617,G0
7.64,9.53,0.87,0.532,F8
8.44,8.62,1.31,0.423,F2
6.25,16.16,0.96,0.526,F6
7.76,7.41,0.93,0.967,G8IV
7.82,4.11,0.8,1.041,K0III
9.73,18.29,1.56,0.99,K3
8.1,9.03,1.17,0.342,F0
8.75,13.24,1.03,0.552,F8
6.46,6.78,0.88,1.176,K1III
6.73,5.96,0.76,0.051,A2
7.96,11.84,1.16,0.421,F2
6.59,6.28,0.78,1.122,K0
12.04,32.93,3.49,1.473,M1
8.09,11.66,1.42,0.455,F2
7.36,4.7,0.63,0.146,A2
7.49,15.55,0.95,0.636,G0
6.96,15.84,0.81,0.353,F2V
7.45,4.99,0.99,0.353,A5
7.9,5.49,0.97,1.071,K0
7.78,15.26,1.03,0.563,F8
8.29,13.14,0.97,0.488,F6V
7.89,8.63,1.11,0.401,F0
8.24,25.29,1.11,0.78,G8V
6.8,6.42,0.75,0.06,A2
8.44,9.67,0.86,0.508,F5V
4.55,14.31,0.92,-0.047,B9IV
7.45,6.04,0.85,0.244,A3
6.31,3.31,0.6,1.629,M4
8.15,5.15,0.98,0.316,A
8.27,6.16,1.0,0.136,A2
7.66,20.44,0.96,0.741,G5IV
8.59,14.36,2.44,0.616,G2V
11.55,16.27,2.71,1.26,M0
7.09,13.9,0.84,0.303,F0
9.58,12.24,1.44,0.7,G5V
8.44,6.36,0.9,0.456,F0
8.01,10.62,1.46,0.406,F3
8.29,5.58,1.02,0.54,G0
9.62,6.67,0.97,0.657,F8V
7.91,5.53,0.62,0.314,F0III
8.93,9.88,1.18,0.607,G2
8.53,8.18,1.0,0.491,F5
7.38,6.15,0.89,1.003,K0
8.56,14.48,1.07,0.615,F8
9.83,9.2,1.5,0.699,G5
8.41,6.58,0.94,0.563,F6V
8.88,5.57,1.09,0.253,A0
9.6,11.87,1.49,0.75,G5
8.11,14.91,1.01,0.484,F6V
9.6,7.92,1.55,0.549,G0V
5.78,11.29,0.92,1.084,K0III
6.38,7.75,0.91,0.006,A1V
8.6,16.79,1.13,0.64,G5
9.8,22.52,1.48,0.855,K0V
8.43,9.89,1.1,0.611,G0
7.33,10.92,0.64,0.444,F2V
9.09,17.09,0.88,0.639,G3
9.26,4.67,0.93,1.162,K2
7.46,4.15,0.66,1.072,K0
5.59,5.7,0.53,-0.1,B8III
7.37,11.46,0.84,0.422,F5IV
5.68,10.3,0.58,1.051,K1III
8.56,7.35,1.12,0.792,G5
7.93,10.47,1.53,0.478,F5
6.09,27.18,4.3,0.632,G2V
6.25,5.34,0.77,1.368,K4III
7.82,39.06,0.93,0.755,G9V
8.15,6.02,0.81,0.475,F5
8.97,11.56,1.31,0.674,G3V
7.47,14.53,1.21,0.55,F8V
8.13,22.09,0.71,0.71,G5V
8.41,8.49,0.77,0.461,F5V
6.47,7.63,0.76,0.946,G8II
7.73,19.78,0.87,0.537,G0V
8.94,8.38,1.24,0.415,F2
8.84,8.73,1.17,0.759,G5
6.32,6.95,0.81,1.099,G9III
5.8,4.5,0.56,-0.067,B8
7.53,23.9,0.85,0.577,G0V
8.14,14.25,0.83,0.593,G0V
6.71,6.66,0.75,0.068,A1V
